epoch,comp_time,val_metric_1,val_metric_2,FL_comm_cost_up,FL_comm_cost_down,FL_comm_cost,FL_query_times,LLM_comm_cost_up,LLM_comm_cost_down,LLM_comm_cost,LLM_query_times
0,2.5471842288970947,-0.08292641232256025,val_metric_2,0.0152587890625,0.0152587890625,0.030517578125,1,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,20
1,4.314122676849365,-0.05649229063923097,val_metric_2,0.030517578125,0.030517578125,0.06103515625,2,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,40
2,6.271906852722168,-0.035348713531034914,val_metric_2,0.0457763671875,0.0457763671875,0.091552734375,3,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,60
3,8.6155366897583,-0.07450570257504005,val_metric_2,0.06103515625,0.06103515625,0.1220703125,4,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,80
4,11.072370290756226,-0.060468589219934456,val_metric_2,0.0762939453125,0.0762939453125,0.152587890625,5,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,100
5,13.194552183151245,-0.06964363996360123,val_metric_2,0.091552734375,0.091552734375,0.18310546875,6,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,120
6,15.362552642822266,-0.06297528977554798,val_metric_2,0.1068115234375,0.1068115234375,0.213623046875,7,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,140
7,17.672085762023926,-0.05934538686340694,val_metric_2,0.1220703125,0.1220703125,0.244140625,8,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,160
8,19.802443981170654,-0.05055328476301465,val_metric_2,0.1373291015625,0.1373291015625,0.274658203125,9,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,180
9,22.072836875915527,-0.02169036757645556,val_metric_2,0.152587890625,0.152587890625,0.30517578125,10,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,200
10,24.224172830581665,-0.06673715336011173,val_metric_2,0.1678466796875,0.1678466796875,0.335693359375,11,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,220
11,26.50947332382202,-0.06753848644523439,val_metric_2,0.18310546875,0.18310546875,0.3662109375,12,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,240
12,28.818561553955078,-0.06187141389054821,val_metric_2,0.1983642578125,0.1983642578125,0.396728515625,13,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,260
13,30.86604118347168,-0.06871154158010656,val_metric_2,0.213623046875,0.213623046875,0.42724609375,14,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,280
14,33.39221501350403,-0.082470251506239,val_metric_2,0.2288818359375,0.2288818359375,0.457763671875,15,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,300
15,35.513312578201294,-0.008023627527437457,val_metric_2,0.244140625,0.244140625,0.48828125,16,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,320
16,37.62770485877991,-0.009947305984231701,val_metric_2,0.2593994140625,0.2593994140625,0.518798828125,17,LLM_comm_cost_F,LLM_comm_cost_B,LLM_comm_cost,340
